S.N.,COMMON NAME,BOTANICAL NAME,LOCATION,Description,Uses,IMAGE
1,Amla,Embalic officinalis,"Madhya pradesh,Uttar pradesh,Rajsthan,Tamilnadu.","Amla is generally known as an Indian Gooseberry. The berries of the trees are potently used for medicinal formulations due to their healing properties. Amla tree contains small berries that are round and yellowish-green in colour. Due to its several health benefits, it should be referred to as a superfood. In ancient Ayurveda, the Amla is known by a different name such as sour, nurse, immortality, and mother.","Heartburn,Anti-aging,Cancer,Heart health,Blood sugar levels,Liver damage,Immune health.",static\Images\amla.webp
2,Ark saphed,Calotropis gigantia,"Rajasthan, Gujarat,Karnataka,Tamil nadu,Andhra pradesh,Uttar pradesh,Maharashtra.","Arka (Calotropis gigantea) is a perennial shrub growing 2.5 meter high with various branches and sub branches. Leaves are simple, opposite, sub sessile, ovate and cordate at base. It has bunch of waxy flowers that are white or lavender in color. Flowers consists of pointed five petals and a small beautiful crown, which holds the stamen. It has milky stem and contains cardiac glycosides, fatty acid and calcium oxalate.","Acne and pimples,Tooth Moving,Itching,Scorpion bite,Ulcer and pimples,Snake poison,small white marks,Disorders caused by gas.",static\Images\ark Shaped.webp
,,,,,,
3,Ashoka,Saraca indica,"Karnataka,Kerala,Maharashtra,Madhya Pradesh,Chhattisgarh,uttar pradesh,Jharkhand,Tamil nadu,Bihar.","The Ashoka plant (Saraca asoca), also known as the sacred tree, is a revered evergreen tree native to the Indian subcontinent. It is celebrated for its medicinal properties in Ayurveda and is often associated with religious and cultural significance in India. The tree produces vibrant orange-red flowers and thrives in humid and tropical regions. Known for its dense foliage, it is commonly planted in gardens and temples for its aesthetic and spiritual appeal.","Women's Health,Digestive Health,Skin and Wound Care,Anti-inflammatory Properties,Anti-depressant,Cosmetics,Natural Dye.",static\Images\ashoka.webp
4,Ashwagandha,Withaniasomnifera,"Location:-Rajsthan,Madhya pradesh,Gujrat,Maharashtra,Karnataka,Uttar pradesh.","Ashwagandha is an evergreen shrub that grows in Asia and Africa. It is commonly used for stress. There is little evidence for its use as an ""adaptogen.""Ashwagandha contains chemicals that might help calm the brain, reduce swelling, lower blood pressure, and alter the immune system.Since ashwagandha is traditionally used as an adaptogen, it is used for many conditions related to stress. Adaptogens are believed to help the body resist physical and mental stress.","Stress Reduction and Anxiety Relief,Improved Sleep, Boosting Energy,Immune System,Muscle Growth,Heart Health.",static\Images\ashwgandha.jpg
5,Bakayan,Ailanthus excela,"Uttar Pradesh,Panjab,Haryana,Rajsthan,Maharashtra,Himachal pradesh.",Bakayan belongs to the Mahagony family and a specious of deciduous tree which is a native tree of Indomalayan regions and Australasian regions. This tree is mainly used for its timber and also in many medicinal preparations. The fruits are poisonous to humans if consumed in large quantities but the same is not applicable for birds who munch on the whole seeds which results in drunkard effect on birds. The leaves of this tree is used as a natural insecticide to protect stored food.,"Skin Problems,Digestive Disorders,Fever and Malaria,Respiratory Health,Anti-inflammatory and Pain Relief,Dental Health.",static\Images\bakyan.jpg
6,Bathua,Chenopodium album,"Digestive Health,Rich in Nutrients,Detoxification,Skin Health,Joint Pain Relief.","Goosefoot is a highly adaptable and nutritious summer annual edible in the Amaranthaceae (buckwheat) family. This common name comes from the shape of the leaves resembling a goose's foot. In its native habitat of Europe and Asia it is found growing in waste sites, farm land, or riparian wetland habitats and is often one of the first weeds to appear on newly disturbed soils","Punjab, Haryana, Uttar Pradesh, Bihar, Rajasthan,Delhi.",static\Images\bathua.jpg
8,Ber,Ziziphus jujubba,"Widely distributed across the country, especially in states like Rajasthan, Gujarat, Maharashtra, and Tamil Nadu","Ziziphus jujuba, commonly known as Ber, Indian jujube, or Chinese date, is a tropical and subtropical fruit tree species belonging to the family Rhamnaceae. It is widely cultivated for its edible fruit and has significant nutritional and medicinal value","Medicinal: Ber fruit is known for its medicinal properties and is used in traditional medicine to treat various ailments. It has antioxidant, anti-inflammatory, and immune-boosting properties",static\Images\ber.jpg
9,China rose,Hibiscus rosasinensis,"Kerala: Known for its lush greenery, Kerala is home to many ornamental plants, including Hibiscus rosa-sinensis.","Hibiscus rosa-sinensis, commonly known as China Rose, Chinese Hibiscus, or Shoeblack Plant, is a tropical and subtropical flowering plant belonging to the family Malvaceae. It is widely cultivated as an ornamental plant for its large, colorful flowers",Ornamental: Widely grown as an ornamental plant in gardens and landscapes for its attractive flowers,static\Images\china rose.jpg
10,Chitrak,Plambagozeylanica,South India: Found in various parts of South India.,"Chitrak, also known as Plumbago zeylanica, is a perennial herbaceous plant widely recognized for its medicinal properties. It belongs to the family Plumbaginaceae and is commonly referred to as Ceylon leadwort or Doctor Bush","Digestive Disorders: Effective in treating indigestion, constipation, and piles.",static\Images\chitrak.jpg
